date, min_temp , max_temp , avg_wind_speed (km/h), max_ gust (km/h), max_wind_direction, rain , solar_rad (kWh/m^2), eto (mm), min_rh (%), max_rh (%)
4/6/20,1.1,20.8,3.8,23, ESE,0,3.89,3.01,25,72
5/6/20,3.5,21.1,2.8,24, WNW,0,3.86,2.84,26,71
6/6/20,3.7,21.5,2.2,16, S,0,3.88,2.83,24,66
7/6/20,8.9,20.6,5.3,26, S,0,2.03,2.03,41,81
8/6/20,5.1,20.3,5.3,23, N,0.6,3.78,2.88,33,85
9/6/20,3.7,22.5,7.9,35, ESE,0,3.77,3.65,31,69
10/6/20,8.1,22.5,4.2,24, S,0,2.75,2.19,45,85
11/6/20,9.8,23.4,3.9,21, ENE,0.8,3.53,2.8,38,85
12/6/20,6.4,24.8,3.6,26, ENE,0,3.89,3.12,31,80
13/6/20,9.3,25.3,10.7,34, NE,0,3.47,3.8,31,79
14/6/20,12.6,20.8,10.1,34, S,6.6,1.38,1.53,66,90
15/6/20,5.8,18.6,4.2,19, N,0,3.84,2.57,32,91
16/6/20,3.8,20.8,2.5,18, E,0,3.75,2.52,38,91
17/6/20,3.6,21.7,2.8,21, E,0,3.8,2.66,28,91
18/6/20,6,22.1,8.9,34, E,0,3.21,3.09,40,87
19/6/20,7.6,22.1,7.7,27, E,0,3.71,3.3,32,86
20/6/20,8.9,21.7,6,27, NE,0,2.62,2.41,34,85
21/6/20,8.1,21.8,9.8,45, NW,0,2.45,2.4,43,79
22/6/20,3,17.1,7.4,31, NW,1,3.5,2.96,32,75
23/6/20,3,16.4,7.7,34, S,0,3.69,2.85,37,78
24/6/20,0.9,16.1,5,29, S,0,3.54,2.4,41,86
25/6/20,0,14.3,5.5,29, ESE,0,3.69,2.18,58,88
26/6/20,0.1,16.1,3.1,18, S,0,3.81,2.27,40,89
27/6/20,0,20.8,2.4,16, NE,0,3.77,2.54,31,82
28/6/20,3.9,22,2.8,16, ENE,0,3.71,2.67,26,82
29/6/20,2.4,21.1,3.8,24, E,0,3.78,2.91,23,91
30/6/20,2.2,20.8,2.7,16, SE,0,3.07,2.28,31,78
1/7/20,6.1,22.2,4.7,23, ENE,0,3.16,2.54,32,73
