day,local_time,assessment_number,mean_daily_temp, Wind (km/h),ws,wd, cummulative_rain_since_9am ,rain_mm,location
1,4/6/20 0:00,NA,4.1,0.9,0.25,215,0,0,Billa_Billa
1,4/6/20 0:15,NA,3.9,0.6,0.17,215,0,0,Billa_Billa
1,4/6/20 0:30,NA,3.9,2,0.56,215,0,0,Billa_Billa
1,4/6/20 0:45,NA,4.3,1.2,0.33,215,0,0,Billa_Billa
1,4/6/20 1:00,NA,3.7,2.4,0.67,215,0,0,Billa_Billa
1,4/6/20 1:15,NA,3.5,1.3,0.36,215,0,0,Billa_Billa
1,4/6/20 1:30,NA,3.2,0.9,0.25,215,0,0,Billa_Billa
1,4/6/20 1:45,NA,3.1,1.4,0.39,215,0,0,Billa_Billa
1,4/6/20 2:00,NA,2.9,0,0.00,180,0,0,Billa_Billa
1,4/6/20 2:15,NA,2.6,0,0.00,180,0,0,Billa_Billa
1,4/6/20 2:30,NA,2.6,0,0.00,180,0,0,Billa_Billa
1,4/6/20 2:45,NA,2.7,0,0.00,180,0,0,Billa_Billa
1,4/6/20 3:00,NA,2.5,0,0.00,180,0,0,Billa_Billa
1,4/6/20 3:15,NA,2.6,0,0.00,180,0,0,Billa_Billa
1,4/6/20 3:30,NA,2.6,0,0.00,180,0,0,Billa_Billa
1,4/6/20 3:45,NA,2.4,0,0.00,180,0,0,Billa_Billa
1,4/6/20 4:00,NA,2.6,0,0.00,180,0,0,Billa_Billa
1,4/6/20 4:15,NA,2.5,0,0.00,180,0,0,Billa_Billa
1,4/6/20 4:30,NA,2.3,0,0.00,180,0,0,Billa_Billa
1,4/6/20 4:45,NA,1.8,0,0.00,180,0,0,Billa_Billa
1,4/6/20 5:00,NA,2.2,0,0.00,180,0,0,Billa_Billa
1,4/6/20 5:15,NA,2,0,0.00,180,0,0,Billa_Billa
1,4/6/20 5:30,NA,1.8,0,0.00,180,0,0,Billa_Billa
1,4/6/20 5:45,NA,1.4,0,0.00,180,0,0,Billa_Billa
1,4/6/20 6:00,NA,1.3,0,0.00,180,0,0,Billa_Billa
1,4/6/20 6:15,NA,1.1,0,0.00,180,0,0,Billa_Billa
1,4/6/20 6:30,NA,1.3,0,0.00,180,0,0,Billa_Billa
1,4/6/20 6:45,NA,1.1,0,0.00,180,0,0,Billa_Billa
1,4/6/20 7:00,NA,1.4,0,0.00,180,0,0,Billa_Billa
1,4/6/20 7:15,NA,2.3,0,0.00,180,0,0,Billa_Billa
1,4/6/20 7:30,NA,3.3,0,0.00,180,0,0,Billa_Billa
1,4/6/20 7:45,NA,4.1,0,0.00,180,0,0,Billa_Billa
1,4/6/20 8:00,NA,5.1,0,0.00,180,0,0,Billa_Billa
1,4/6/20 8:15,NA,6.4,0.5,0.14,215,0,0,Billa_Billa
1,4/6/20 8:30,NA,8.4,0.5,0.14,190,0,0,Billa_Billa
1,4/6/20 8:45,NA,9.7,4.9,1.36,132,0,0,Billa_Billa
1,4/6/20 9:00,NA,10.3,5.4,1.50,155,0,0,Billa_Billa
1,4/6/20 9:15,NA,11.9,4.7,1.31,155,0,0,Billa_Billa
1,4/6/20 9:30,NA,12.7,6.9,1.92,143,0,0,Billa_Billa
1,4/6/20 9:45,NA,13.7,7.8,2.17,132,0,0,Billa_Billa
1,4/6/20 10:00,NA,14.6,11.1,3.08,130,0,0,Billa_Billa
1,4/6/20 10:15,NA,15,11.3,3.14,122,0,0,Billa_Billa
1,4/6/20 10:30,NA,16,11.4,3.17,119,0,0,Billa_Billa
1,4/6/20 10:45,NA,16.6,12.7,3.53,126,0,0,Billa_Billa
1,4/6/20 11:00,NA,17.5,13.6,3.78,118,0,0,Billa_Billa
1,4/6/20 11:15,NA,18,12.8,3.56,121,0,0,Billa_Billa
1,4/6/20 11:30,NA,18.4,12,3.33,111,0,0,Billa_Billa
1,4/6/20 11:45,NA,18.8,12.2,3.39,109,0,0,Billa_Billa
1,4/6/20 12:00,NA,19,11.8,3.28,97,0,0,Billa_Billa
1,4/6/20 12:15,NA,19.5,12.3,3.42,100,0,0,Billa_Billa
1,4/6/20 12:30,NA,20,9.2,2.56,113,0,0,Billa_Billa
1,4/6/20 12:45,NA,19.8,10.2,2.83,121,0,0,Billa_Billa
1,4/6/20 13:00,NA,20.1,8.6,2.39,105,0,0,Billa_Billa
1,4/6/20 13:15,NA,20.1,9.8,2.72,80,0,0,Billa_Billa
1,4/6/20 13:30,NA,20.7,11.9,3.31,105,0,0,Billa_Billa
1,4/6/20 13:45,NA,20.3,7.1,1.97,109,0,0,Billa_Billa
1,4/6/20 14:00,NA,20.4,8.9,2.47,111,0,0,Billa_Billa
1,4/6/20 14:15,NA,20.8,10.1,2.81,129,0,0,Billa_Billa
1,4/6/20 14:30,NA,20.6,10,2.78,121,0,0,Billa_Billa
1,4/6/20 14:45,NA,20.6,8.2,2.28,128,0,0,Billa_Billa
1,4/6/20 15:00,NA,20.8,6.2,1.72,76,0,0,Billa_Billa
1,4/6/20 15:15,NA,20.8,5.4,1.50,145,0,0,Billa_Billa
1,4/6/20 15:30,NA,20.6,8.8,2.44,130,0,0,Billa_Billa
1,4/6/20 15:45,NA,20.4,7.5,2.08,148,0,0,Billa_Billa
1,4/6/20 16:00,NA,20.4,7.3,2.03,153,0,0,Billa_Billa
1,4/6/20 16:15,NA,20.1,6.2,1.72,151,0,0,Billa_Billa
1,4/6/20 16:30,NA,20.1,4.1,1.14,181,0,0,Billa_Billa
1,4/6/20 16:45,NA,19.8,5,1.39,161,0,0,Billa_Billa
1,4/6/20 17:00,NA,18.8,4,1.11,176,0,0,Billa_Billa
1,4/6/20 17:15,NA,17.9,1.8,0.50,185,0,0,Billa_Billa
1,4/6/20 17:30,NA,16.8,1,0.28,180,0,0,Billa_Billa
1,4/6/20 17:45,NA,16,0.7,0.19,187,0,0,Billa_Billa
1,4/6/20 18:00,NA,15.6,0.5,0.14,189,0,0,Billa_Billa
1,4/6/20 18:15,NA,14.9,0.2,0.06,189,0,0,Billa_Billa
1,4/6/20 18:30,NA,14.4,0.1,0.03,188,0,0,Billa_Billa
1,4/6/20 18:45,NA,12.4,0,0.00,180,0,0,Billa_Billa
1,4/6/20 19:00,NA,11.1,2.9,0.81,189,0,0,Billa_Billa
1,4/6/20 19:15,NA,11.7,4.3,1.19,139,0,0,Billa_Billa
1,4/6/20 19:30,NA,11.4,3.2,0.89,134,0,0,Billa_Billa
1,4/6/20 19:45,NA,10.1,4,1.11,134,0,0,Billa_Billa
1,4/6/20 20:00,NA,10.1,3.1,0.86,134,0,0,Billa_Billa
