date,max_temp,time,min_temp,time,max_humidity,time,min_humidity,time,avg_wind_speed (km/h),avg_wind_direction,rain,max_soil_temp,min_soil_temp,solar_rad
2020-06-27T00:00:00,23.1,2020-06-27T15:20:32,2.2,2020-06-27T01:49:52,90,2020-06-27T06:19:44,33,2020-06-27T15:30:08,7.7,133.6,0,NA,NA,98
2020-06-28T00:00:00,22.1,2020-06-28T14:30:24,6.1,2020-06-28T06:10:08,92,2020-06-28T06:01:36,36,2020-06-28T15:39:44,9.8,130.2,0,NA,NA,105
2020-06-29T00:00:00,21,2020-06-29T15:30:08,5.3,2020-06-29T06:40:00,93,2020-06-29T07:00:16,28,2020-06-29T15:30:08,10.5,130,0,NA,NA,112
2020-06-30T00:00:00,21.4,2020-06-30T13:20:00,3.9,2020-06-30T04:50:08,93,2020-06-30T06:30:24,37,2020-06-30T14:30:24,8,130.8,0,NA,NA,104
2020-07-01T00:00:00,23.3,2020-07-01T15:50:24,7.7,2020-07-01T00:50:08,82,2020-07-01T02:30:24,38,2020-07-01T15:50:24,5.4,152.6,0,NA,NA,76
2020-07-02T00:00:00,23.8,2020-07-02T14:10:08,5.2,2020-07-02T06:01:36,89,2020-07-02T06:40:00,39,2020-07-02T14:40:00,6,177.7,0,NA,NA,107
2020-07-03T00:00:00,23.9,2020-07-03T15:09:52,5.8,2020-07-03T06:01:36,96,2020-07-03T19:50:24,42,2020-07-03T15:09:52,10.9,223.1,4.4,NA,NA,104
2020-07-04T00:00:00,15.7,2020-07-04T13:40:16,2.9,2020-07-04T23:50:24,85,2020-07-04T07:20:32,42,2020-07-04T16:00:00,15.5,254.3,0,NA,NA,117
2020-07-05T00:00:00,17.6,2020-07-05T14:10:08,0.7,2020-07-05T06:19:44,92,2020-07-05T06:30:24,41,2020-07-05T14:30:24,8.4,244.4,0,NA,NA,114
2020-07-06T00:00:00,21.3,2020-07-06T14:40:00,-1.2,2020-07-06T06:19:44,95,2020-07-06T05:49:52,33,2020-07-06T15:09:52,5.1,171.6,0,NA,NA,118
2020-07-07T00:00:00,22.4,2020-07-07T14:30:24,0.4,2020-07-07T06:19:44,89,2020-07-07T06:30:24,25,2020-07-07T15:39:44,6.7,154.6,0,NA,NA,118
2020-07-08T00:00:00,23.1,2020-07-08T15:09:52,4.8,2020-07-08T06:49:36,90,2020-07-08T06:30:24,30,2020-07-08T15:00:16,9.9,129.8,0,NA,NA,120
2020-07-09T00:00:00,18.2,2020-07-09T11:39:44,9.3,2020-07-09T02:00:32,95,2020-07-09T20:40:32,65,2020-07-09T11:39:44,11.5,114.2,2.2,NA,NA,65
2020-07-10T00:00:00,19,2020-07-10T15:50:24,10,2020-07-10T23:20:32,96,2020-07-10T00:50:08,65,2020-07-10T13:10:24,10.9,101.1,0,NA,NA,67
2020-07-11T00:00:00,22.2,2020-07-11T13:49:52,7.9,2020-07-11T02:40:00,95,2020-07-11T07:39:44,52,2020-07-11T14:19:44,8.4,175.2,3,NA,NA,93
2020-07-12T00:00:00,18.5,2020-07-12T13:29:36,11.7,2020-07-12T22:49:36,97,2020-07-12T04:59:44,77,2020-07-12T13:10:24,5.3,188.8,13.2,NA,NA,47
2020-07-13T00:00:00,16.8,2020-07-13T13:40:16,5.6,2020-07-13T23:30:08,92,2020-07-13T07:20:32,47,2020-07-13T13:40:16,10.8,253.9,0,NA,NA,91
2020-07-14T00:00:00,12.3,2020-07-14T13:49:52,3.9,2020-07-14T06:10:08,93,2020-07-14T05:49:52,65,2020-07-14T13:40:16,18.6,251.4,0,NA,NA,91
2020-07-15T00:00:00,17.3,2020-07-15T14:19:44,6.3,2020-07-15T23:00:16,91,2020-07-15T06:10:08,45,2020-07-15T14:49:36,15.4,242.2,0,NA,NA,104
2020-07-16T00:00:00,17,2020-07-16T14:40:00,1.7,2020-07-16T07:00:16,94,2020-07-16T06:10:08,37,2020-07-16T14:30:24,13.9,247.6,0,NA,NA,113
2020-07-17T00:00:00,20.7,2020-07-17T14:49:36,0.2,2020-07-17T06:19:44,92,2020-07-17T06:30:24,39,2020-07-17T15:20:32,6.4,199.5,0,NA,NA,113
2020-07-18T00:00:00,22.6,2020-07-18T15:09:52,1.7,2020-07-18T05:40:16,89,2020-07-18T06:02:40,36,2020-07-18T15:09:52,4.9,151,0,NA,NA,113
2020-07-19T00:00:00,23,2020-07-19T14:00:32,2.8,2020-07-19T05:29:36,90,2020-07-19T06:19:44,31,2020-07-19T15:09:52,5.4,198.3,0,NA,NA,113
2020-07-20T00:00:00,21.5,2020-07-20T14:49:36,1.7,2020-07-20T05:29:36,85,2020-07-20T06:19:44,28,2020-07-20T14:49:36,10.3,192.1,0,NA,NA,117
2020-07-21T00:00:00,20.3,2020-07-21T12:29:52,4.7,2020-07-21T04:40:32,71,2020-07-21T04:50:08,39,2020-07-21T15:00:16,8.1,134.2,0,NA,NA,90
2020-07-22T00:00:00,16.3,2020-07-22T12:20:16,9,2020-07-22T03:20:32,80,2020-07-22T23:30:08,54,2020-07-22T12:09:36,11.7,128.1,0,NA,NA,52
2020-07-23T00:00:00,18.5,2020-07-23T13:40:16,7.4,2020-07-23T23:39:44,90,2020-07-23T23:50:24,56,2020-07-23T13:40:16,9,133.3,0,NA,NA,64
2020-07-24T00:00:00,21.2,2020-07-24T14:19:44,7.6,2020-07-24T00:50:08,92,2020-07-24T00:09:36,51,2020-07-24T14:19:44,13.2,128.8,0,NA,NA,85
2020-07-25T00:00:00,21.8,2020-07-25T14:19:44,10.5,2020-07-25T00:00:00,95,2020-07-25T06:19:44,58,2020-07-25T14:19:44,11.5,145.4,10.6,NA,NA,84
2020-07-26T00:00:00,18.1,2020-07-26T13:40:16,10.8,2020-07-26T23:00:16,97,2020-07-26T02:30:24,76,2020-07-26T13:49:52,14.5,241.4,17,NA,NA,55
2020-07-27T00:00:00,16.8,2020-07-27T14:40:00,8.2,2020-07-27T23:50:24,92,2020-07-27T03:30:08,59,2020-07-27T14:49:36,17.9,285.7,0,NA,NA,77
2020-07-28T00:00:00,16.2,2020-07-28T13:40:16,6,2020-07-28T23:00:16,90,2020-07-28T23:20:32,60,2020-07-28T13:40:16,10.8,264,0,NA,NA,111
2020-07-29T00:00:00,19.9,2020-07-29T14:49:36,5.2,2020-07-29T03:20:32,94,2020-07-29T03:39:44,52,2020-07-29T14:49:36,11.2,242.4,0,NA,NA,96
2020-07-30T00:00:00,21.5,2020-07-30T14:00:32,5.2,2020-07-30T04:40:32,95,2020-07-30T05:29:36,40,2020-07-30T15:20:32,6.2,200.8,0,NA,NA,105
2020-07-31T00:00:00,11.2,2020-07-31T00:09:36,6.6,2020-07-31T02:49:36,87,2020-07-31T02:40:00,75,2020-07-31T00:00:00,6.4,130.5,0,NA,NA,0
2020-08-01T00:00:00,22.7,2020-08-01T15:09:52,6.2,2020-08-01T06:30:24,92,2020-08-01T06:02:40,35,2020-08-01T15:09:52,7.4,140.9,0,NA,NA,149
2020-08-02T00:00:00,23.1,2020-08-02T15:30:08,4.7,2020-08-02T06:30:24,92,2020-08-02T06:40:00,25,2020-08-02T16:09:36,5.5,147.4,0,NA,NA,112
2020-08-03T00:00:00,22.8,2020-08-03T13:29:36,4.2,2020-08-03T05:49:52,91,2020-08-03T06:40:00,36,2020-08-03T13:29:36,4.3,176.9,0,NA,NA,89
2020-08-04T00:00:00,22.8,2020-08-04T15:30:08,7.1,2020-08-04T23:30:08,77,2020-08-04T06:40:00,33,2020-08-04T15:39:44,6.5,201.6,0,NA,NA,85
2020-08-05T00:00:00,24.4,2020-08-05T14:10:08,3.7,2020-08-05T05:49:52,82,2020-08-05T06:40:00,24,2020-08-05T14:40:00,8.9,197.9,0,NA,NA,114
2020-08-06T00:00:00,26.5,2020-08-06T15:09:52,2.6,2020-08-06T05:20:00,75,2020-08-06T06:02:40,24,2020-08-06T12:59:44,6.3,141.4,0,NA,NA,76
2020-08-07T00:00:00,19.1,2020-08-07T09:49:52,10.8,2020-08-07T22:40:00,94,2020-08-07T14:19:44,59,2020-08-07T00:00:00,17.9,120.1,16.6,NA,NA,28
2020-08-08T00:00:00,18.8,2020-08-08T13:10:24,7.3,2020-08-08T23:50:24,95,2020-08-08T07:00:16,60,2020-08-08T13:10:24,9.8,234.1,0.4,NA,NA,107
2020-08-09T00:00:00,15.5,2020-08-09T15:09:52,4.8,2020-08-09T06:40:00,95,2020-08-09T06:49:36,44,2020-08-09T14:40:00,14,264.8,0,NA,NA,119
2020-08-10T00:00:00,13.5,2020-08-10T16:09:36,7.1,2020-08-10T23:30:08,93,2020-08-10T23:39:44,66,2020-08-10T15:30:08,17.3,256.7,0,NA,NA,75
2020-08-11T00:00:00,23,2020-08-11T15:39:44,5.9,2020-08-11T00:59:44,95,2020-08-11T05:40:16,41,2020-08-11T15:39:44,5,179.2,0,NA,NA,128
2020-08-12T00:00:00,23.4,2020-08-12T15:09:52,7.4,2020-08-12T06:40:00,92,2020-08-12T05:10:24,39,2020-08-12T15:39:44,8.7,131.1,0,NA,NA,118
2020-08-13T00:00:00,27.5,2020-08-13T15:20:32,7.8,2020-08-13T04:59:44,89,2020-08-13T05:20:00,30,2020-08-13T15:00:16,6.5,210.7,0,NA,NA,135
2020-08-14T00:00:00,30.4,2020-08-14T14:19:44,7.7,2020-08-14T05:40:16,91,2020-08-14T23:30:08,25,2020-08-14T14:10:08,14.5,149.3,3.8,NA,NA,102
2020-08-15T00:00:00,20.3,2020-08-15T13:29:36,9.7,2020-08-15T23:50:24,95,2020-08-15T03:30:08,60,2020-08-15T14:30:24,12.5,248.7,22,NA,NA,64
2020-08-16T00:00:00,18,2020-08-16T14:10:08,6.9,2020-08-16T23:50:24,93,2020-08-16T00:20:16,54,2020-08-16T14:49:36,11.1,261.7,0,NA,NA,74
2020-08-17T00:00:00,18,2020-08-17T15:30:08,4.7,2020-08-17T04:00:00,93,2020-08-17T04:09:36,39,2020-08-17T14:00:32,10.3,242.9,0,NA,NA,95
2020-08-18T00:00:00,23,2020-08-18T15:09:52,2.3,2020-08-18T06:19:44,91,2020-08-18T04:20:16,37,2020-08-18T15:09:52,5,143.9,0,NA,NA,82
